,Unnamed: 0,travel_date,ratings,flight_type,flight_class,review_title,review_text,Airline_Company,Airline_Class,Airline_Origin,all_review,preprocess_data,topic_sentiment
1486,1486, July 2019,1,Domestic,Economy,Late All The Time,Budget airline. Budget service. Always late. Airline is horrible. Don't care a bit about their customers.,Allegiant,low-cost,USA,"['late', 'all', 'the', 'timebudget', 'airline', 'budget', 'service', 'always', 'late', 'airline', 'is', 'horrible', 'don', 'care', 'bit', 'about', 'their', 'customers']",late timebudget airline budget service late airline horrible care bit customers,"{'bit': (-1, 'horrible')}"
1487,1487, July 2019,1,Domestic,Economy,Most positive reviews are fake,"Watch 60 minutes special to reveal how Allegiant airlines are a bunch of crooks! I regret ever using them to fly my mother and sister. Completely unprofessional, zero customer service and horrible accommodations. Reducing prices to compete is understandable but a horrible…",Allegiant,low-cost,USA,"['most', 'positive', 'reviews', 'are', 'fakewatch', 'minutes', 'special', 'to', 'reveal', 'how', 'allegiant', 'airlines', 'are', 'bunch', 'of', 'crooks', 'regret', 'ever', 'using', 'them', 'to', 'fly', 'my', 'mother', 'and', 'sister', 'completely', 'unprofessional', 'zero', 'customer', 'service', 'and', 'horrible', 'accommodations', 'reducing', 'prices', 'to', 'compete', 'is', 'understandable', 'but', 'horrible']",positive reviews fakewatch minutes special reveal allegiant airlines bunch crooks regret fly mother sister completely unprofessional zero customer service horrible accommodations reducing prices compete understandable horrible,"{'reviews': (1, 'positive'), 'airlines': (-1, 'crooks'), 'bunch crooks': (-1, 'crooks'), 'crooks airlines regret': (-1, 'regret'), 'accommodations': (-1, 'horrible'), 'horrible': (1, 'understandable')}"
1488,1488, July 2019,1,Domestic,Economy,Worst of the Worst in the Industry,"I booked our family vacation in May 2019. I purchased the Tripflex due to my work being less predictable. Thinking if something arouse it wouldn't ruin the trip. Something came up and I had to cancel my ticket but the site wouldn't let me cancel just mine, it cancelled the whole…",Allegiant,low-cost,USA,"['worst', 'of', 'the', 'worst', 'in', 'the', 'industryi', 'booked', 'our', 'family', 'vacation', 'in', 'may', 'purchased', 'the', 'tripflex', 'due', 'to', 'my', 'work', 'being', 'less', 'predictable', 'thinking', 'if', 'something', 'arouse', 'it', 'wouldn', 'ruin', 'the', 'trip', 'something', 'came', 'up', 'and', 'had', 'to', 'cancel', 'my', 'ticket', 'but', 'the', 'site', 'wouldn', 'let', 'me', 'cancel', 'just', 'mine', 'it', 'cancelled', 'the', 'whole']",worst worst industryi booked family vacation purchased tripflex work predictable thinking arouse wouldn ruin trip came cancel ticket site wouldn let cancel cancelled,"{'industryi': (-1, 'worst'), 'work': (1, 'work'), 'thinking': (1, 'work'), 'wouldn': (-1, 'ruin'), 'ruin': (-1, 'ruin')}"
1489,1489, July 2019,1,Domestic,Economy,bad service,"First, I paid for a carry on bag and then tried to change to a checked bag, but their system would not let me delete the carry-on, so I ended up paying for both, for both legs of the roundtrip flight.  The seats are terrible, basically a piece of molded plastic with a vinyl…",Allegiant,low-cost,USA,"['bad', 'servicefirst', 'paid', 'for', 'carry', 'on', 'bag', 'and', 'then', 'tried', 'to', 'change', 'to', 'checked', 'bag', 'but', 'their', 'system', 'would', 'not', 'let', 'me', 'delete', 'the', 'carry', 'on', 'so', 'ended', 'up', 'paying', 'for', 'both', 'for', 'both', 'legs', 'of', 'the', 'roundtrip', 'flight', 'the', 'seats', 'are', 'terrible', 'basically', 'piece', 'of', 'molded', 'plastic', 'with', 'vinyl']",bad servicefirst paid carry bag tried change checked bag let delete carry ended paying legs roundtrip flight seats terrible basically piece molded plastic vinyl,"{'servicefirst': (-1, 'bad'), 'seats': (-1, 'terrible')}"
1490,1490, July 2019,1,Domestic,Economy,I wouldn’t suggest it,"If you are traveling with a family or have a medical issue save your money and choose a full service airline. The customer service, consideration and nickel and dime cost are not worth the FEW pennies you save. I’d rather be treated with respect, kindness and recline my seat.",Allegiant,low-cost,USA,"['wouldn', 'suggest', 'itif', 'you', 'are', 'traveling', 'with', 'family', 'or', 'have', 'medical', 'issue', 'save', 'your', 'money', 'and', 'choose', 'full', 'service', 'airline', 'the', 'customer', 'service', 'consideration', 'and', 'nickel', 'and', 'dime', 'cost', 'are', 'not', 'worth', 'the', 'few', 'pennies', 'you', 'save', 'rather', 'be', 'treated', 'with', 'respect', 'kindness', 'and', 'recline', 'my', 'seat']",wouldn suggest itif traveling family medical issue save money choose service airline customer service consideration nickel dime cost worth pennies save treated respect kindness recline seat,"{'issue': (-1, 'issue'), 'money': (-1, 'issue'), 'pennies': (1, 'worth'), 'respect': (1, 'respect'), 'kindness': (1, 'kindness')}"
1491,1491, July 2019,1,Domestic,Economy,Beware do not book Allegiant rental car package/ no refund to credit card if you cancel,"I had to cancel my flight with the car rental package 3 weeks before departure. i foolishly booked my flight as an Alligiant package deal with a car rental. They DO NOT refund your credit card for a canceled car rental, which in my case was $400.00. I was issued an Allegiant…",Allegiant,low-cost,USA,"['beware', 'do', 'not', 'book', 'allegiant', 'rental', 'car', 'package', 'no', 'refund', 'to', 'credit', 'card', 'if', 'you', 'canceli', 'had', 'to', 'cancel', 'my', 'flight', 'with', 'the', 'car', 'rental', 'package', 'weeks', 'before', 'departure', 'foolishly', 'booked', 'my', 'flight', 'as', 'an', 'alligiant', 'package', 'deal', 'with', 'car', 'rental', 'they', 'do', 'not', 'refund', 'your', 'credit', 'card', 'for', 'canceled', 'car', 'rental', 'which', 'in', 'my', 'case', 'was', 'was', 'issued', 'an', 'allegiant']",beware book allegiant rental car package refund credit card canceli cancel flight car rental package weeks departure foolishly booked flight alligiant package deal car rental refund credit card canceled car rental case issued allegiant,"{'package': (-1, 'beware'), 'refund': (1, 'refund'), 'credit': (1, 'refund')}"
1492,1492, June 2019,5,Domestic,Economy,A Quick ride home.,We pick traveling with Allegiant Air because  it is so convent for us.  If you know when you want to travel you can watch for deals on your tickets.  The airports are small so it helps with anyone who has trouble walking long distances to get to their waiting area.  Everyone is…,Allegiant,low-cost,USA,"['quick', 'ride', 'home', 'we', 'pick', 'traveling', 'with', 'allegiant', 'air', 'because', 'it', 'is', 'so', 'convent', 'for', 'us', 'if', 'you', 'know', 'when', 'you', 'want', 'to', 'travel', 'you', 'can', 'watch', 'for', 'deals', 'on', 'your', 'tickets', 'the', 'airports', 'are', 'small', 'so', 'it', 'helps', 'with', 'anyone', 'who', 'has', 'trouble', 'walking', 'long', 'distances', 'to', 'get', 'to', 'their', 'waiting', 'area', 'everyone', 'is']",quick ride home pick traveling allegiant air convent know want travel watch deals tickets airports small helps trouble walking long distances waiting area,"{'trouble': (-1, 'small')}"
1493,1493, June 2019,1,Domestic,Economy,Worst airline ever,"Go with literally any other airline and you'll be better off!  Charge for everything,  even $3 for a small water, late all the time,  customer service is the worst. They don't even pick up their phone at the airports since all are complaints",Allegiant,low-cost,USA,"['worst', 'airline', 'evergo', 'with', 'literally', 'any', 'other', 'airline', 'and', 'you', 'll', 'be', 'better', 'off', 'charge', 'for', 'everything', 'even', 'for', 'small', 'water', 'late', 'all', 'the', 'time', 'customer', 'service', 'is', 'the', 'worst', 'they', 'don', 'even', 'pick', 'up', 'their', 'phone', 'at', 'the', 'airports', 'since', 'all', 'are', 'complaints']",worst airline evergo literally airline ll better charge small water late time customer service worst pick phone airports complaints,"{'evergo': (-1, 'worst'), 'water': (-1, 'small'), 'customer service': (-1.5, 'complaints'), 'airports complaints': (-1.5, 'complaints')}"
1494,1494, July 2019,4,Domestic,Economy,Nice First Flight,"The flight was good, no problems. You know there are no snacks, unless you pay, also you have to pay for luggage. This is why the airfare is cheaper.",Allegiant,low-cost,USA,"['nice', 'first', 'flightthe', 'flight', 'was', 'good', 'no', 'problems', 'you', 'know', 'there', 'are', 'no', 'snacks', 'unless', 'you', 'pay', 'also', 'you', 'have', 'to', 'pay', 'for', 'luggage', 'this', 'is', 'why', 'the', 'airfare', 'is', 'cheaper']",nice flightthe flight good problems know snacks pay pay luggage airfare cheaper,"{'problems': (1, 'good')}"
1495,1495, July 2019,4,Domestic,Economy,Allegiant Air rocks in some areas/falls in others,My wife and I took an Allegiant Air round trip from Des Moines(DSM) to Sanford(Orlando-SFB) in July 2019. Allegiant Air charges for baggage and seat assignments which is not good. My wife and I picked Allegiant because it’s a non-stop flight to Sanford which is good. I’ve got…,Allegiant,low-cost,USA,"['allegiant', 'air', 'rocks', 'in', 'some', 'areas', 'falls', 'in', 'othersmy', 'wife', 'and', 'took', 'an', 'allegiant', 'air', 'round', 'trip', 'from', 'des', 'moines', 'dsm', 'to', 'sanford', 'orlando', 'sfb', 'in', 'july', 'allegiant', 'air', 'charges', 'for', 'baggage', 'and', 'seat', 'assignments', 'which', 'is', 'not', 'good', 'my', 'wife', 'and', 'picked', 'allegiant', 'because', 'it', 'non', 'stop', 'flight', 'to', 'sanford', 'which', 'is', 'good', 've', 'got']",allegiant air rocks areas falls othersmy wife took allegiant air round trip des moines dsm sanford orlando sfb july allegiant air charges baggage seat assignments good wife picked allegiant non stop flight sanford good ve got,"{'wife': (1, 'good'), 'rocks areas': (-1, 'falls'), 'air charges': (-1, 'falls')}"
